# queue/queue.csv
id,batch,phase,category,summary,agent_instructions,constraints,dependencies,related_files,notes,created_date
Q-001,1,1,infrastructure,"Goal: inventory every planning, readiness, checklist, and backlog source that feeds the production queue. Acceptance: one source list captures the canonical documents, their authority level, and the major work themes they describe. Definition of done: no queue-driving source remains implicit. Out of scope: changing implementation or documentation content.",,"Preserve the current authority order from AGENTS and the production-readiness playbook.","","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/OPERATIONS/Production-Readiness-Gaps-Report.md,Production-Readiness-Complete-Checklist.md,docs/PLANS/00_Master-Delivery-Plan.md,docs/PLANS/Scope-of-Work.md,docs/TARGET/Target-State-Backlog.md","granular split of former Q-001: source inventory",2026-04-24
Q-002,1,1,infrastructure,"Goal: map the production baseline requirements from the source inventory to concrete code, env, and deploy surfaces. Acceptance: providers, auth, memory, budgets, sinks, release metadata, and rollout prerequisites are each tied to files and runtime entry points. Definition of done: the baseline is traceable from docs to implementation surfaces. Out of scope: fixing the gaps.",,"Do not alter route contracts while creating the baseline mapping.","Q-001","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,src/config/schema.ts,src/bootstrap/index.ts,src/server/dependencies.ts,src/server/routes.ts","granular split of former Q-001: baseline mapping",2026-04-24
Q-003,1,2,security,"Goal: inventory production gating controls around ops endpoints, rollout switches, release metadata, and preflight checks. Acceptance: every relevant route, bootstrap check, and config flag is cataloged with its intended production behavior. Definition of done: rollout-control scope is explicit before changes begin. Out of scope: implementing hardening changes.",,"Do not loosen any existing auth, rollout, or fail-closed behavior while auditing.","Q-002","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/SPEC/20_Config_and_FeatureFlags.md,src/server/routes.ts,src/server/preflight.ts,src/rollout/policy.ts","granular split of former Q-002: control inventory",2026-04-24
Q-004,1,2,security,"Goal: enforce the documented rollout and operational access posture in code, tests, and procedures. Acceptance: ops endpoints, release metadata checks, kill switches, and rollout semantics match the docs and have verification coverage or smoke steps. Definition of done: production exposure is deliberately gated and demonstrable. Out of scope: unrelated API features.",,"Preserve or strengthen fail-closed operational behavior.","Q-003","docs/PLANS/implementation/L2-08_Rollout-and-Operational-Readiness-Implementation.md,docs/OPERATIONS/RUNBOOKS,src/server/routes.ts,src/bootstrap/index.ts,src/server/preflight.ts,src/rollout/policy.ts","granular split of former Q-002: enforcement",2026-04-24
Q-005,1,3,infrastructure,"Goal: define the production model-provider matrix, config schema, and capability routing rules for runtime use. Acceptance: provider-specific settings, required secrets, fallback rules, and readiness expectations are explicit in docs and config surfaces. Definition of done: there is one approved provider posture for production. Out of scope: speculative provider expansion.",,"Keep provider assumptions aligned with current query contracts and route semantics.","Q-004","docs/OPERATIONS/Production-Readiness-Gaps-Report.md,docs/TARGET/Target-State-Backlog.md,src/config/schema.ts,src/server/dependencies.ts,src/gateways/model-gateway.ts","granular split of former Q-003: provider baseline",2026-04-24
Q-006,1,3,infrastructure,"Goal: wire the approved provider configuration through startup, query handling, retries, fallbacks, and cost tracking. Acceptance: production startup no longer relies on development defaults, and runtime behavior uses explicit provider configuration end to end. Definition of done: provider posture is active in code and verifiable. Out of scope: adding unsupported providers.",,"Do not regress current query handling, readiness checks, or timeout guarantees.","Q-005","src/gateways/model-gateway.ts,src/server/query-handler.ts,src/server/dependencies.ts,src/config/schema.ts,docs/PLANS/SOW-Documentation-Implementation-Gap-Closure.md","granular split of former Q-003: runtime wiring",2026-04-24
Q-007,1,4,security,"Goal: define the production auth registry model for issuers, apps, audiences, JWKS caching, and tenant-aware caller identity. Acceptance: the approved IdP and app registry posture is documented against the existing auth surfaces. Definition of done: auth hardening work has a concrete target design. Out of scope: changing the architecture beyond the documented scope.",,"Do not weaken issuer, audience, or scope validation assumptions.","Q-006","docs/OPERATIONS/Production-Readiness-Gaps-Report.md,docs/TARGET/Target-State-Backlog.md,src/server/auth.ts,src/ingress/validate.ts,src/config/schema.ts","granular split of former Q-004: auth registry design",2026-04-24
Q-008,1,4,security,"Goal: implement the production auth flow for caller binding, token exchange, scope enforcement, and registry-backed validation. Acceptance: external JWT to AI JWT flow and tenant-aware auth configuration work consistently in code and docs. Definition of done: production auth is operationally usable and testable. Out of scope: new auth product surface.",,"Maintain strict token validation, scope checks, and caller binding.","Q-007","src/server/auth.ts,src/server/routes.ts,src/ingress/validate.ts,src/config/schema.ts,docs/PLANS/SOW-Documentation-Implementation-Gap-Closure.md","granular split of former Q-004: auth implementation",2026-04-24
Q-009,1,5,security,"Goal: choose and document the production secrets backend, access policy, rotation expectations, and audit visibility. Acceptance: one secrets-management path is selected and mapped to runtime and deployment requirements. Definition of done: no critical secret behavior remains ambiguous in production docs. Out of scope: custom key-management products.",,"Never introduce plaintext secret handling or developer bypasses for production paths.","Q-008","docs/OPERATIONS/Production-Readiness-Gaps-Report.md,Production-Readiness-Complete-Checklist.md,docs/OPERATIONS/Production-Deployment-Guide.md,src/security/secret-scope.ts,src/config/schema.ts","granular split of former Q-005: backend selection",2026-04-24
Q-010,1,5,security,"Goal: wire the approved secrets backend into production-critical runtime paths and deployment instructions. Acceptance: startup and runtime secret reads use the chosen backend, and rotation and support procedures are documented. Definition of done: stub or placeholder secret handling is no longer on the critical path. Out of scope: unrelated secret classes.",,"Do not commit secrets or add fallback logic that bypasses production controls.","Q-009","src/security/secret-scope.ts,src/config/schema.ts,src/bootstrap/index.ts,docs/OPERATIONS/Production-Deployment-Guide.md","granular split of former Q-005: runtime integration",2026-04-24
Q-011,1,6,infrastructure,"Goal: define the durable-state target for memory, retrieval, and tenant-budget execution. Acceptance: the production backend choice, retention behavior, and recovery expectations are explicit for vector retrieval and tenant budgets. Definition of done: shared state requirements are clearly approved before implementation. Out of scope: speculative storage engines.",,"Keep current retrieval bounds and tenant isolation assumptions intact.","Q-010","docs/OPERATIONS/Production-Readiness-Gaps-Report.md,docs/PLANS/implementation/L2-06_Memory-and-Retrieval-Implementation.md,docs/TARGET/Target-State-Backlog.md,src/memory/default-store.ts,src/controlplane/tenant-budget.ts","granular split of former Q-006: backend design",2026-04-24
Q-012,1,6,infrastructure,"Goal: implement the approved production backends and dev-only fallback posture for memory, retrieval, and tenant budgets. Acceptance: durable backends, retention, backup expectations, and dev-only defaults are reflected in code and docs. Definition of done: shared durable state matches the intended production target. Out of scope: unrelated storage refactors.",,"Do not regress retrieval behavior or scope enforcement while changing backends.","Q-011","src/memory/default-store.ts,src/memory/retrieval-service.ts,src/controlplane/tenant-budget.ts,docs/PLANS/SOW-Documentation-Implementation-Gap-Closure.md","granular split of former Q-006: backend implementation",2026-04-24
Q-013,1,7,infrastructure,"Goal: inventory the production HTTP transport requirements for CORS, compression, keep-alive, queue depth, body limits, and content negotiation. Acceptance: each transport concern is mapped to middleware, server setup, or explicit unsupported behavior. Definition of done: transport hardening scope is unambiguous. Out of scope: application-level API redesign.",,"Do not broaden accepted content types or route semantics during the inventory pass.","Q-012","Production-Readiness-Complete-Checklist.md,docs/OPERATIONS/Production-Readiness-Gaps-Report.md,src/server/middleware.ts,src/server/index.ts,src/server/routes.ts","granular split of former Q-007: transport inventory",2026-04-24
Q-014,1,7,infrastructure,"Goal: enforce bounded transport behavior under production load and document the resulting client semantics. Acceptance: the agreed transport limits and protections are implemented or explicitly documented as unsupported. Definition of done: HTTP behavior is bounded, supportable, and contract-aware. Out of scope: unrelated API feature work.",,"Keep existing route behavior stable while hardening transport limits.","Q-013","src/server/middleware.ts,src/server/index.ts,src/server/routes.ts,docs/TARGET/Target-State-Backlog.md","granular split of former Q-007: transport hardening",2026-04-24
Q-015,1,8,core-api,"Goal: inventory the remaining deadline, budget, stop-condition, and dependency-validation gaps across workflow and non-workflow execution paths. Acceptance: every advisory-only or inconsistent enforcement point is identified against the current runtime architecture. Definition of done: runtime-governance work is scoped with file-level traceability. Out of scope: creating new workflow semantics.",,"Preserve current policy-to-budget-to-dispatch ordering while analyzing gaps.","Q-014","docs/OPERATIONS/Production-Readiness-Gaps-Report.md,docs/TARGET/Target-State-Backlog.md,src/workflows/runner.ts,src/server/query-handler.ts,src/controlplane/resource-manager.ts,src/utils/async-deadline.ts","granular split of former Q-008: runtime gap inventory",2026-04-24
Q-016,1,8,core-api,"Goal: enforce consistent budget and deadline behavior across all critical runtime paths and verify it with tests. Acceptance: critical execution paths no longer rely on advisory-only budget fields or unbounded runtime behavior. Definition of done: runtime governance is enforced rather than implied. Out of scope: new workflow products.",,"Do not introduce bypass paths around policy, budget, or dispatch enforcement.","Q-015","src/workflows/runner.ts,src/server/query-handler.ts,src/controlplane/resource-manager.ts,src/utils/async-deadline.ts,docs/PLANS/SOW-Documentation-Implementation-Gap-Closure.md","granular split of former Q-008: runtime enforcement",2026-04-24
Q-017,1,9,security,"Goal: define the approved production tool-execution policy for allowlists, sandboxing, identity propagation, and enablement rules. Acceptance: safe tool scope and deny-by-default behavior are explicit across router, gateway, policy, and docs. Definition of done: tool posture is documented before implementation. Out of scope: arbitrary unrestricted tool execution.",,"Maintain deny-by-default and preserve sandbox boundaries for files, timeouts, and network.","Q-016","docs/OPERATIONS/Production-Readiness-Gaps-Report.md,docs/TARGET/Target-State-Backlog.md,src/gateways/tool-gateway.ts,src/engines/tool_engine.ts,src/router/default-router.ts","granular split of former Q-009: policy definition",2026-04-24
Q-018,1,9,security,"Goal: implement the approved tool-execution posture and verify it with tests or smoke coverage. Acceptance: allowlists, sandbox policy, timeout handling, and audit identity propagation work consistently in code and docs. Definition of done: approved tools run safely and unsupported tools stay denied. Out of scope: unsupported side-effecting tool classes.",,"Do not weaken sandbox policy or broaden tool access to satisfy convenience.","Q-017","src/gateways/tool-gateway.ts,src/engines/tool_engine.ts,src/router/default-router.ts,docs/PLANS/SOW-Documentation-Implementation-Gap-Closure.md","granular split of former Q-009: implementation",2026-04-24
Q-019,1,10,devops,"Goal: inventory the required production observability sinks, health dependencies, alerts, and operator procedures. Acceptance: code instrumentation is mapped to external sinks, dashboards, alerts, and runbook expectations. Definition of done: observability scope is explicit for release operations. Out of scope: building a dashboard product in-repo.",,"Preserve redaction, bounded buffering, and sink safety guarantees during this pass.","Q-018","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/OPERATIONS/RUNBOOKS,src/observability,src/security/audit-logger.ts,src/server/dependencies.ts","granular split of former Q-010: observability inventory",2026-04-24
